,base_string,Unnamed: 0,candidate1_base_prob,candidate2_base_prob,candidate1_alt1_prob,candidate2_alt1_prob,candidate1_alt2_prob,candidate2_alt2_prob,candidate1_prob,candidate2_prob,layer,neuron
0,The accountant slept because,4991.5,0.3803528845310211,0.15174591541290286,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.38029883205532455,0.1518080050158553,6.0,383.5
1,The acquaintance slept because,14975.5,0.264605313539505,0.2127493917942047,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.26461584623664236,0.21279967430596933,6.0,383.5
2,The actor slept because,24959.5,0.4353671073913574,0.05215451866388321,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.43534864307954335,0.052189411950679734,6.0,383.5
3,The actress slept because,34943.5,0.01889900304377079,0.44965896010398876,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.01889544419212213,0.4496683119288765,6.0,383.5
4,The administrator slept because,44927.5,0.3024280667304993,0.17072704434394834,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3023473516476747,0.17082996867919484,6.0,383.5
5,The adventurer slept because,54911.5,0.3234124481678009,0.12954874336719513,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.323382730416667,0.12961600601482084,6.0,383.5
6,The advocate slept because,64895.5,0.2479728758335113,0.23275531828403478,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.24791576468254414,0.23282619709304223,6.0,383.5
7,The aide slept because,74879.5,0.2755317687988281,0.17325544357299805,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.2754726787396253,0.17334238102044672,6.0,383.5
8,The ambassador slept because,84863.5,0.3835844695568085,0.08150862902402878,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3835151930554555,0.0815808533934148,6.0,383.5
9,The analyst slept because,94847.5,0.3787534832954407,0.0969141572713852,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3787082059082026,0.09696903341906503,6.0,383.5
10,The architect slept because,104831.5,0.403167188167572,0.08836227655410768,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4031286554273743,0.08840969381242011,6.0,383.5
11,The artist slept because,114815.5,0.30164986848831177,0.16463854908943176,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.301616567091491,0.16469961386591864,6.0,383.5
12,The assassin slept because,124799.5,0.3893550634384155,0.12988239526748654,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3892939519196844,0.12996688882524793,6.0,383.5
13,The astronaut slept because,134783.5,0.364290863275528,0.06439786404371263,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.36422766430470616,0.0644807983801748,6.0,383.5
14,The astronomer slept because,144767.5,0.3819294273853302,0.12492011487483975,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.38187002167941475,0.12499316856608345,6.0,383.5
15,The athlete slept because,154751.5,0.31704580783843994,0.08880069851875305,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.31699454898719126,0.08891280015366367,6.0,383.5
16,The attorney slept because,164735.5,0.34014832973480225,0.18622952699661252,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3401166028253591,0.18627305902713814,6.0,383.5
17,The author slept because,174719.5,0.2767634689807892,0.19011500477790835,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.2767155374167487,0.19017861737236857,6.0,383.5
18,The baker slept because,184703.5,0.2861731350421905,0.22485819458961487,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.28609610099691707,0.2249477428312485,6.0,383.5
19,The banker slept because,194687.5,0.4160275757312776,0.11155448853969574,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.41598710647891635,0.11161640642631727,6.0,383.5
20,The bartender slept because,204671.5,0.3231654465198517,0.2086449265480041,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.32311094875256413,0.2087318870680741,6.0,383.5
21,The biologist slept because,214655.5,0.35010966658592224,0.1702319234609604,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.349996426799454,0.17034769567619198,6.0,383.5
22,The bishop slept because,224639.5,0.45432254672050487,0.021511565893888474,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4543123623439803,0.02153157620957175,6.0,383.5
23,The boss slept because,234623.5,0.39441046118736267,0.09368426352739334,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.39436441937533134,0.09374674385225472,6.0,383.5
24,The boxer slept because,244607.5,0.4873495399951935,0.06588919460773468,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4872974611353129,0.06595172479678578,6.0,383.5
25,The broadcaster slept because,254591.5,0.07787145674228667,0.07223448902368547,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.07790939715759566,0.07232795317600577,6.0,383.5
26,The broker slept because,264575.5,0.3031468391418457,0.139400914311409,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.30312178507805443,0.13948006069180197,6.0,383.5
27,The businessman slept because,274559.5,0.4948376715183258,0.022207370027899742,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.494830444896928,0.022222637570125815,6.0,383.5
28,The butcher slept because,284543.5,0.4112204313278198,0.08403096348047256,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4112082520105804,0.08406825318040016,6.0,383.5
29,The campaigner slept because,294527.5,0.18879660964012146,0.27741646766662603,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.18872787994601262,0.27750958810345483,6.0,383.5
30,The captain slept because,304511.5,0.42907726764678966,0.05697698891162872,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.42906034319625735,0.057017280387345895,6.0,383.5
31,The chancellor slept because,314495.5,0.3394856154918671,0.18051829934120175,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.33931946213870573,0.18067990723274982,6.0,383.5
32,The character slept because,324479.5,0.24422399699687963,0.23100270330905914,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.24420016658050606,0.23104557853329402,6.0,383.5
33,The chef slept because,334463.5,0.3841566741466522,0.12864986062049866,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.38409047103367555,0.12873218740330628,6.0,383.5
34,The chemist slept because,344447.5,0.3804884850978851,0.15910203754901886,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3804045057354065,0.15919052460678637,6.0,383.5
35,The citizen slept because,354431.5,0.2874186336994171,0.14096541702747345,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.2873749976279214,0.14103357929837865,6.0,383.5
36,The cleric slept because,364415.5,0.3942652344703674,0.08389652520418167,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.39422572379072124,0.08395829311876486,6.0,383.5
37,The clerk slept because,374399.5,0.23357520997524256,0.30316486954689026,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.2334858389938465,0.3032632896479649,6.0,383.5
38,The coach slept because,384383.5,0.4388905465602875,0.03272710368037224,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4388796466086299,0.03275175593817272,6.0,383.5
39,The collector slept because,394367.5,0.3119761645793915,0.0995144546031952,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3119516613242479,0.09956845918816562,6.0,383.5
40,The colonel slept because,404351.5,0.5076591968536377,0.028511106967926025,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.5076486716667811,0.028534482472773213,6.0,383.5
41,The columnist slept because,414335.5,0.3541063070297241,0.13522747159004211,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.35404244851237404,0.13530307041051295,6.0,383.5
42,The comedian slept because,424319.5,0.4528696537017822,0.09556610137224196,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4528014418692925,0.09564288533501661,6.0,383.5
43,The comic slept because,434303.5,0.16297508776187894,0.07075505703687668,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.16305541019821063,0.07080104278112487,6.0,383.5
44,The commander slept because,444287.5,0.4514829218387604,0.04208457842469216,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4514808839079566,0.042110936824032344,6.0,383.5
45,The commentator slept because,454271.5,0.3416157364845276,0.11875210702419278,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3415752921659404,0.11880499132810375,6.0,383.5
46,The commissioner slept because,464255.5,0.40777260065078735,0.08625201135873795,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.40771072761764604,0.08631430593922208,6.0,383.5
47,The composer slept because,474239.5,0.4442079663276671,0.05821230635046959,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.4441743304278367,0.058252561090809576,6.0,383.5
48,The conductor slept because,484223.5,0.3755708932876587,0.10245157778263092,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.3755330446247871,0.10251722601988615,6.0,383.5
49,The congressman slept because,494207.5,0.4832033812999724,0.02252037636935711,0.5132898092269897,0.024457603693008426,0.02141742222011089,0.5338590741157532,0.48320535256957203,0.022533946690180946,6.0,383.5
